Firmenname,Website,Status,Branche,Kurzprofil,Gespraechseinstieg
Zalando,zalando.de,Enriched,Online-Modehandel,"Zalando ist Europas führender Online-Shop für Mode, Schuhe und Lifestyle-Artikel. Das Unternehmen bietet ein breites Sortiment von internationalen Marken sowie einen starken Fokus auf Kundenservice und schnelle Lieferung.","Hallo [Name], ich freue mich, mit Ihnen über innovative Wege zu sprechen, wie Zalando seine Reichweite weiter ausbauen kann."
N26,n26.com,Enriched,Digitalbank,"N26 ist eine mobile Bank, die sich auf innovative Finanzlösungen für die Generation Y und Z spezialisiert hat. Sie bietet ein komplett digitales Kontoverfahren ohne Filialen an.","Hallo, ich habe gesehen, dass Sie bei N26 tätig sind und wollte mehr über Ihre Erfahrungen im Bereich digitaler Banking-Lösungen erfahren."
Delivery Hero,deliveryhero.com,Enriched,Online Food Delivery,"Delivery Hero ist ein globaler Online-Food-Delivery-Dienst, der in über 40 Ländern tätig ist. Das Unternehmen verbindet Restaurants mit Kunden über eine mobile App und Webplattform.","Hallo [Name], ich habe gesehen, dass Delivery Hero gerade seine Lieferkette in Südamerika ausbaut und wollte fragen, ob Sie Interesse an einer effizienten Logistiklösung haben?"
SAP,sap.com,Enriched,Software & IT,"SAP ist ein führender Anbieter von Unternehmenssoftware, der Lösungen für Geschäftsprozesse, Datenanalyse und Cloud-Services bietet. Das Unternehmen ist weltweit aktiv und unterstützt Unternehmen dabei, ihre Geschäftsabläufe zu optimieren.","Hallo [Name], ich freue mich, mit Ihnen über die innovativen Lösungen von SAP zu sprechen, die Ihr Unternehmen effizienter machen können."
HelloFresh,hellofresh.de,Enriched,Lebensmittel- und Lieferdienst,"HelloFresh ist ein globaler Anbieter von Mahlzeit-Kits, der frische Zutaten und Rezepte direkt an die Haustür liefert. Das Unternehmen setzt auf Nachhaltigkeit, Vielfalt und digitale Innovation, um gesunde Ernährung für vielbeschäftigte Menschen zugänglich zu machen.","Hallo, ich habe gesehen, dass HelloFresh stark auf Nachhaltigkeit setzt und wollte gern erfahren, wie wir gemeinsam Ihre Lieferkette optimieren können."
Trade Republic,traderepublic.com,Enriched,FinTech/Online-Brokerage,"Trade Republic ist ein deutscher FinTech-Player, der über eine mobile App den Handel mit Aktien, ETFs und Derivaten ermöglicht. Das Unternehmen fokussiert sich auf niedrige Kosten, Transparenz und eine benutzerfreundliche Plattform.","Hallo [Name], ich habe gesehen, dass Sie bei Trade Republic tätig sind und wollte gern erfahren, wie Sie Ihre Handelsplattform weiter skalieren möchten."
GetYourGuide,getyourguide.com,Enriched,Tourismus- und Reisebuchungsplattform,"GetYourGuide ist eine Online-Plattform, die Reisenden Zugang zu einer breiten Palette von Touren, Aktivitäten und Attraktionen weltweit bietet. Das Unternehmen verbindet Kunden mit lokalen Anbietern, um unvergessliche Erlebnisse zu ermöglichen.","Hallo [Name], ich habe gesehen, dass GetYourGuide innovative Tourenlösungen anbietet und würde gerne mehr darüber erfahren, wie wir gemeinsam Mehrwert schaffen können."
Personio,personio.com,Enriched,HR-Software,"Personio ist ein deutsches SaaS-Unternehmen, das HR- und Recruiting-Software für mittlere Unternehmen anbietet. Es erleichtert Personalmanagement, Onboarding und Talentakquise mit einer benutzerfreundlichen Plattform.","Hallo, ich habe gesehen, dass Personio innovative HR-Softwarelösungen anbietet, und würde gerne mehr darüber erfahren, wie wir Ihre Prozesse unterstützen können."
Celonis,celonis.com,Enriched,Process Mining & Digital Transformation,"Celonis hilft Unternehmen dabei, versteckte Erkenntnisse zu gewinnen und Geschäftsprozesse durch seine Process-Mining-Plattform zu optimieren. Durch KI-gestützte Analysen liefert es Echtzeit-Transparenz und umsetzbare Empfehlungen über verschiedene Branchen hinweg.","Hallo [Name], ich habe gesehen, dass Celonis in der Prozessoptimierung führend ist und dachte, wir könnten gemeinsam Ihre Geschäftsabläufe noch effizienter gestalten."
Flixbus,flixbus.de,Enriched,Fernbusverkehr,"Flixbus ist ein europaweit operierender Fernbusanbieter, der sich durch günstige Preise und ein umfangreiches Streckennetz auszeichnet. Das Unternehmen kombiniert moderne Flotte, digitale Buchungsplattform und innovative Kooperationen mit lokalen Verkehrsverbünden.","Guten Tag, ich bin [Ihr Name] von Flixbus und freue mich, mit Ihnen über innovative Mobilitätslösungen zu sprechen."
