Firmenname,Website,Status,Branche,Kurzprofil,Gespraechseinstieg
Zalando,zalando.de,,,,
N26,n26.com,,,,
Delivery Hero,deliveryhero.com,,,,
SAP,sap.com,,,,
HelloFresh,hellofresh.de,,,,
Trade Republic,traderepublic.com,,,,
GetYourGuide,getyourguide.com,,,,
Personio,personio.com,,,,
Celonis,celonis.com,,,,
Flixbus,flixbus.de,,,,
Contentful,contentful.com,,,,
Wefox,wefox.com,,,,
Babbel,babbel.com,,,,
Auto1 Group,auto1-group.com,,,,
Solarisbank,solarisbank.com,,,,
Deliveroo,deliveroo.com,,,,
Klarna,klarna.com,,,,
Spotify,spotify.com,,,,
Revolut,revolut.com,,,,
Wolt,wolt.com,,,,
